,date,season,episode,character,line,action,episode_num
0,"28 March, 1999",1,1,Fry,Space. It seems to go on and on forever. But then you get to the end and the gorilla starts throwing barrels at you.,voice-over,"1
"
1,"28 March, 1999",1,1,Fry,And that's how you play the game!,,"1
"
2,"28 March, 1999",1,1,Boy,"You stink, loser!",,"1
"
3,"28 March, 1999",1,1,Panucci,"Hey, Fry. Pizza goin' out! C'mon!!",,"1
"
4,"28 March, 1999",1,1,Fry,"Michelle, baby! Where you going?",,"1
"
5,"28 March, 1999",1,1,Michelle,"It's not working out, Fry. I put your stuff out on the sidewalk!",Next to her is a guy with his arm around her. The cab pulls away.shouting; from cab,"1
"
6,"28 March, 1999",1,1,Fry,"I hate my life, I hate my life, I hate my life.",,"1
"
7,"28 March, 1999",1,1,Bike Thief,Happy new year!,,"1
"
8,"28 March, 1999",1,1,Fry,"Hello? Pizza delivery for, uh ... ... Icy Wiener? Aw, crud! I always thought at this point in my life I'd be the one making the crank calls! Here's to another lousy millennium.","He reads the delivery note.He sits down on the chair, puts his feet on the desk and opens a can of beer.","1
"
9,"28 March, 1999",1,1,Crowd,Ten!,chanting,"1
"
10,"28 March, 1999",1,1,Crowd,Neuf!,chanting,"1
"
11,"28 March, 1999",1,1,Crowd,Otto!,chanting,"1
"
12,"28 March, 1999",1,1,Crowd,Saba!,chanting,"1
"
13,"28 March, 1999",1,1,Crowd,Eksi!,chanting,"1
"
14,"28 March, 1999",1,1,Crowd,Wu!,chanting,"1
"
15,"28 March, 1999",1,1,Crowd,Char!,chanting,"1
"
16,"28 March, 1999",1,1,Crowd,Thathu!,chanting,"1
"
17,"28 March, 1999",1,1,Crowd,Nee!,chanting,"1
"
18,"28 March, 1999",1,1,Crowd,One!,chanting,"1
"
19,"28 March, 1999",1,1,Fry,What the--?,,"1
"
20,"28 March, 1999",1,1,Fry,"My God! It's the future. My parents, my co-workers, my girlfriend; I'll never see any of them again. Yahoo!",,"1
"
21,"28 March, 1999",1,1,Terry,Welcome to the world of tomorrow!,melodramatically,"1
"
22,"28 March, 1999",1,1,Lou,Why do you always have to say it that way?,,"1
"
23,"28 March, 1999",1,1,Terry,"Haven't you ever heard of a little thing called showmanship? Come, your destiny awaits!",He turns to Fry.dramatically,"1
"
24,"28 March, 1999",1,1,Lou,Have a nice future.,,"1
"
25,"28 March, 1999",1,1,Fry,Cool! Just like in Star Trek! Ow!,The door closes on his head.,"1
"
26,"28 March, 1999",1,1,Leela,"Good afternoon, sir. Name?",Fry is impressed with what he sees. Leela turns around. She has one huge eye in the middle of her face. Fry screams.,"1
"
27,"28 March, 1999",1,1,Fry,"Uh, Fry.",,"1
"
28,"28 March, 1999",1,1,Leela,"I'm Leela. Now, it's New Year's Eve so I'd like to decide your fate quickly and get out of here.",,"1
"
29,"28 March, 1999",1,1,Fry,Can I ask you a question?,,"1
"
30,"28 March, 1999",1,1,Leela,As long as it's not about my eye.,,"1
"
31,"28 March, 1999",1,1,Fry,Uh...,,"1
"
32,"28 March, 1999",1,1,Leela,Is it about my eye?,,"1
"
33,"28 March, 1999",1,1,Fry,Sort of.,,"1
"
34,"28 March, 1999",1,1,Leela,Just ask the question.,,"1
"
35,"28 March, 1999",1,1,Fry,What's with the eye?,,"1
"
36,"28 March, 1999",1,1,Leela,"I'm an alien, alright? Now let's drop the subject.",,"1
"
37,"28 March, 1999",1,1,Fry,"Cool, an alien! Has your race taken over the Earth?",,"1
"
38,"28 March, 1999",1,1,Leela,"No, I just work here.",,"1
"
39,"28 March, 1999",1,1,Fry,Wait a minute! Is that blimp accurate?,,"1
"
40,"28 March, 1999",1,1,Leela,"Yep. It's December 31st, 2999.",,"1
"
41,"28 March, 1999",1,1,Fry,My God! A million years!,,"1
"
42,"28 March, 1999",1,1,Leela,I'm sure this must be very upsetting for you.,,"1
"
43,"28 March, 1999",1,1,Fry,"Y'know, I guess it should be but, actually, I'm glad. I had nothing to live for in my old life. I was broke, I had a humiliating job and I was beginning to suspect my girlfriend might be cheating on me.",,"1
"
44,"28 March, 1999",1,1,Leela,"Well, at least here you'll be treated with dignity. Now strip naked and get on the .",,"1
"
45,"28 March, 1999",1,1,Leela,Interesting. Your DNA test shows one living relative. He's your great-great-great-great-great-great-great...,,"1
"
46,"28 March, 1999",1,1,Leela,...great-great-great-great-great nephew.,,"1
"
47,"28 March, 1999",1,1,Fry,That's great! What's the little guy's name?,,"1
"
48,"28 March, 1999",1,1,Leela,Professor Hubert Farnsworth.,,"1
"
49,"28 March, 1999",1,1,Fry,Eurgh!,,"1
"
50,"28 March, 1999",1,1,Fry,"Y'know, I'm the luckiest guy in the whole future. I've been given a second chance and this time I'm not going to be a total loser. What's that?",A buzzer buzzes.,"1
"
51,"28 March, 1999",1,1,Leela,Your permanent career assignment.,,"1
"
52,"28 March, 1999",1,1,Fry,Delivery boy? No! Not again! Please! Anything else!,,"1
"
53,"28 March, 1999",1,1,Leela,Take your hands off me! You've been assigned the job you're best at just like everyone else.,,"1
"
54,"28 March, 1999",1,1,Fry,What if I refuse?,,"1
"
